contract_id,client_id,client_name,product,start_date,end_date,annual_premium,status,city_postal,risk_zone,client_age,channel,csp,gender
CTR_000046,CLI_000046,Nathalie Thomas,Auto,2025-03-27,2026-04-13,842.34€,Suspended,Toulouse_31000,Medium,54.0,Agency,Worker,Female
CTR_000047,CLI_000047,Sophie David,Auto,2024-02-10,2025-01-30,907.30€,Cancelled,Toulouse_31000,Medium,52.0,Phone,Worker,Male
CTR_000048,CLI_000048,David Martin,Auto,2023-01-03,2024-01-24,629.72€,Expired,Bordeaux_33000,Medium,71.0,Broker,Retired,M
CTR_000049,CLI_000049,Marie Petit,Home,2024-07-26,2025-07-30,419.45€,Cancelled,Lyon_69000,High,46.0,Phone,Manager,Female
CTR_000050,CLI_000050,Laurent Petit,Home,01/21/2025,2026-01-13,391.86€,Active,Marseille_13000,Medium,38.0,Phone,Manager,F
CTR_000051,CLI_000051,Laurent Robert,Home,2025-04-09,12/03/2026,420.07€,Suspended,Marseille_13000,Medium,32.0,Web,Employee,Female
CTR_000052,CLI_000052,Marie Bertrand,Health,2024-02-15,2025-01-26,$1128.61,Renewed,Paris_75001,High,50.0,Agency,Worker,M
CTR_000053,CLI_000053,Christine Michel,Health,2025-08-22,07/21/2026,$1519.24,Active,Nantes_44000,Low,35.0,Web,Manager,Female
CTR_000054,CLI_000054,Isabelle Moreau,Auto,2023-04-17,2024-03-31,936.31€,Cancelled,Marseille_13000,Medium,41.0,Web,Worker,Male
CTR_000055,CLI_000055,Pascal Dubois,Home,02-01-2025,2026-02-05,€466.31,Active,Lyon_69000,High,47.0,Phone,Employee,Female
CTR_000056,CLI_000056,Marie Michel,Auto,02/18/2023,2024-03-03,1205.24€,Renewed,Lyon_69000,High,,Web,Manager,
CTR_000057,CLI_000057,Nathalie Bertrand,Auto,2023-02-01,2024-02-13,676.57€,Renewed,Bordeaux_33000,Medium,48.0,Broker,Worker,
CTR_000058,CLI_000058,Jean Leroy,Life,2024-10-04,2025-11-11,2294.51€,Suspended,Nantes_44000,Low,54.0,Phone,Employee,F
CTR_000059,CLI_000059,Isabelle Simon,Home,2024-07-06,2025-07-21,266.77 EUR,Renewed,Nantes_44000,Low,48.0,Phone,Manager,F
CTR_000060,CLI_000060,Catherine Leroy,Auto,2024-05-27,2025-04-07,742.03€,Renewed,Nantes_44000,Low,49.0,Broker,Worker,M
CTR_000061,CLI_000061,Pascal Bertrand,Auto,2024-05-21,2025-06-17,622.31€,Renewed,Bordeaux_33000,Medium,48.0,Web,Employee,F
CTR_000062,CLI_000062,Laurent Moreau,Home,2024-05-26,2025-05-01,344.56€,Expired,Nantes_44000,Low,,Broker,,M
CTR_000063,CLI_000063,Isabelle Dubois,Life,2023-06-24,2024-05-27,1342.35€,Expired,Nantes_44000,Low,30.0,Broker,Worker,
CTR_000064,CLI_000064,Pierre Leroy,Auto,21-03-2023,2024-02-15,1142.54€,Cancelled,Lyon_69000,High,52.0,Phone,Manager,
CTR_000065,CLI_000065,Christine Michel,Home,2023-04-26,2024-04-12,410.93€,Expired,Toulouse_31000,Medium,56.0,Phone,Worker,F
CTR_000066,CLI_000066,Christine Leroy,Auto,2023-04-22,2024-05-16,984.97€,Renewed,Lyon_69000,High,49.0,Web,Employee,M
CTR_000067,CLI_000067,Pierre Simon,Health,2024-09-26,10/19/2025,1148.69€,Active,Bordeaux_33000,Medium,34.0,Web,,Male
CTR_000068,CLI_000068,Catherine Laurent,Life,2024-09-06,2025-08-26,1683.93€,Cancelled,Nantes_44000,Low,35.0,Broker,Employee,M
CTR_000069,CLI_000069,Christine Dubois,Home,2023-12-02,2024-12-14,518.44€,Cancelled,Lyon_69000,High,45.0,Agency,Self_employed,Male
CTR_000070,CLI_000070,Jean Martin,Auto,2023-06-24,2024-06-10,958.30€,Expired,Marseille_13000,Medium,62.0,Web,Self_employed,M
CTR_000071,CLI_000071,Christine Bertrand,Health,2023-12-31,2024-12-08,1417.89€,Cancelled,Toulouse_31000,Medium,32.0,Agency,Manager,Female
CTR_000072,CLI_000072,Laurent Michel,Health,2025-05-16,2026-04-23,1137.68€,Active,Bordeaux_33000,Medium,50.0,Broker,Worker,F
CTR_000073,CLI_000073,Nicolas Bertrand,Health,2025-06-13,2026-05-26,1369.44 euros,Active,Toulouse_31000,Medium,50.0,Agency,Worker,M
CTR_000074,CLI_000074,Christine Garcia,Auto,2023-06-03,2024-05-09,763.23€,Renewed,Toulouse_31000,Medium,44.0,Web,Manager,M
CTR_000075,CLI_000075,Laurent David,Auto,2025-07-27,2026-08-11,€818.18,Suspended,Toulouse_31000,Medium,39.0,Phone,Manager,Male
CTR_000076,CLI_000076,Sandrine Thomas,Health,2023-03-21,24/03/2024,€1941.14,Renewed,Marseille_13000,Medium,55.0,Broker,Self_employed,
CTR_000077,CLI_000077,Catherine Dubois,Home,2024-08-20,2025-08-29,$368.37,Expired,Dijon_21000,Low,34.0,Phone,,F
CTR_000078,CLI_000078,Isabelle Martin,Auto,2023-05-01,13-04-2024,725.28€,Cancelled,Bordeaux_33000,Medium,46.0,Broker,,M
CTR_000079,CLI_000079,Jean Petit,Home,2025-06-24,2026-05-23,432.40€,Active,Toulouse_31000,Medium,49.0,Broker,Manager,F
CTR_000080,CLI_000080,Nicolas Michel,Auto,2023-06-24,2024-04-26,$1211.02,Renewed,Paris_75001,High,51.0,Phone,,Male
CTR_000081,CLI_000081,David Michel,Life,2025-07-06,2026-08-23,2237.37€,Suspended,Marseille_13000,Medium,51.0,Agency,,Male
CTR_000082,CLI_000082,Sophie Thomas,Home,2024-03-18,2025-02-06,280.17€,Expired,Dijon_21000,Low,51.0,Web,Employee,
CTR_000083,CLI_000083,Jean Petit,Life,20/05/2025,04/07/2026,2147.17€,Active,Dijon_21000,Low,,Phone,,Female
CTR_000084,CLI_000084,David Dubois,Life,2025-08-09,07/28/2026,1926.51€,Suspended,Nantes_44000,Low,,Phone,Worker,M
CTR_000085,CLI_000085,Jean Moreau,Home,2024-08-10,07/08/2025,228.03€,Renewed,Dijon_21000,Low,35.0,Web,Employee,
CTR_000086,CLI_000086,David Garcia,Home,2024-08-29,27/08/2025,447.51€,Cancelled,Marseille_13000,Medium,42.0,Web,Self_employed,F
CTR_000087,CLI_000087,Nicolas Durand,Auto,03-07-2024,2025-06-07,456.37€,Renewed,Dijon_21000,Low,53.0,Broker,,M
CTR_000088,CLI_000088,Marie Leroy,Health,14/09/2023,2024-08-30,1132.89€,Cancelled,Paris_75001,High,25.0,Broker,Self_employed,Female
CTR_000089,CLI_000089,Sandrine Garcia,Life,12/30/2022,2023-12-17,1595.39€,Renewed,Paris_75001,High,45.0,Phone,,Male
CTR_000090,CLI_000090,Christine Robert,Home,2024-07-20,2025-08-04,233.56 EUR,Cancelled,Dijon_21000,Low,32.0,Phone,Employee,Male
CTR_000091,CLI_000091,Jean Thomas,Home,2025-04-10,04/02/2026,295.39€,Suspended,Dijon_21000,Low,45.0,Web,Employee,Male
CTR_000092,CLI_000092,Olivier Laurent,Life,2025-06-10,2026-06-03,1952.16 euros,Active,Bordeaux_33000,Medium,37.0,Broker,Manager,F
CTR_000093,CLI_000093,Olivier Simon,Home,2024-09-24,2025-10-13,545.00€,Suspended,Paris_75001,High,,Broker,Student,M
CTR_000094,CLI_000094,Jean Robert,Home,2023-02-17,20-01-2024,365.81€,Expired,Marseille_13000,Medium,47.0,Broker,Manager,F
CTR_000095,CLI_000095,David Simon,Home,2023-11-05,2024-10-12,243.41€,Renewed,Dijon_21000,Low,,Phone,Employee,
CTR_000096,CLI_000096,Nicolas Garcia,Auto,2024-07-19,2025-07-04,576.06€,Renewed,Nantes_44000,Low,55.0,Phone,,M
CTR_000097,CLI_000097,Sophie Leroy,Home,2024-07-16,2025-07-30,€328.31,Cancelled,Bordeaux_33000,Medium,,Agency,Retired,F
CTR_000098,CLI_000098,Olivier Durand,Health,2023-08-27,08/23/2024,1314.19€,Cancelled,Marseille_13000,Medium,49.0,Web,Manager,Female
CTR_000099,CLI_000099,Isabelle David,Home,2023-08-06,2024-09-02,323.67€,Cancelled,Bordeaux_33000,Medium,70.0,Phone,Retired,M
CTR_000100,CLI_000100,Isabelle Moreau,Auto,2024-11-10,2025-11-07,706.01 EUR,Suspended,Nantes_44000,Low,57.0,Agency,Employee,M
CTR_000101,CLI_000101,Christine Laurent,Home,2024-08-25,2025-09-02,302.09€,Renewed,Bordeaux_33000,Medium,50.0,Web,Employee,Female
CTR_000102,CLI_000102,Marie David,Home,2024-09-10,2025-10-06,277.03€,Active,Dijon_21000,Low,54.0,Phone,Manager,Male
CTR_000103,CLI_000103,Nicolas Leroy,Auto,2024-09-17,2025-10-18,585.95 euros,Active,Dijon_21000,Low,41.0,Web,Self_employed,
CTR_000104,CLI_000104,Pascal Thomas,Home,2024-11-19,2025-10-17,359.97€,Suspended,Marseille_13000,Medium,30.0,Web,Manager,
CTR_000105,CLI_000105,Marie Michel,Home,2024-06-19,2025-06-29,365.63€,Cancelled,Nantes_44000,Low,62.0,Web,Self_employed,F
CTR_000106,CLI_000106,Pierre Dubois,Home,2023-05-26,2024-06-01,380.68€,Expired,Marseille_13000,Medium,27.0,Web,Employee,
CTR_000107,CLI_000107,Olivier Thomas,Auto,2024-06-26,2025-06-18,661.96€,Expired,Nantes_44000,Low,47.0,Broker,Worker,F
CTR_000108,CLI_000108,Laurent David,Health,2024-06-14,2025-05-30,$1359.85,Expired,Dijon_21000,Low,37.0,Broker,Self_employed,F
CTR_000109,CLI_000109,Olivier Laurent,Home,2023-04-26,2024-04-07,529,Renewed,Lyon_69000,High,64.0,Phone,,F
CTR_000110,CLI_000110,Laurent Moreau,Health,2025-05-27,2026-05-19,1145.33€,Suspended,Bordeaux_33000,Medium,,Agency,Employee,Male
CTR_000111,CLI_000111,Sophie Leroy,Auto,2024-08-27,2025-09-29,1113.11€,Expired,Paris_75001,High,48.0,Agency,Employee,Female
CTR_000112,CLI_000112,Nathalie Bertrand,Life,2023-08-07,2024-09-04,€1327.27,Cancelled,Lyon_69000,High,37.0,Broker,,Male
CTR_000113,CLI_000113,Sophie Petit,Auto,2025-08-17,06-08-2026,1294.43€,Active,Paris_75001,High,,Web,Worker,Male
CTR_000114,CLI_000114,Nicolas Martin,Home,2024-09-09,2025-09-03,414.36€,Active,Bordeaux_33000,Medium,55.0,Agency,Worker,Female
CTR_000115,CLI_000115,Jean Michel,Auto,2024-08-30,2025-08-30,696.78€,Renewed,Toulouse_31000,Medium,54.0,Phone,Employee,Male
CTR_000116,CLI_000116,David Durand,Life,2023-12-20,2024-11-16,$2395.91,Expired,Dijon_21000,Low,,Web,,F
CTR_000117,CLI_000117,Jean Durand,Auto,04/01/2024,2025-04-03,977.30€,Renewed,Marseille_13000,Medium,44.0,Phone,Worker,Male
CTR_000118,CLI_000118,Nicolas Leroy,Auto,2024-06-12,2025-07-02,750.27€,Renewed,Nantes_44000,Low,46.0,Agency,Self_employed,M
CTR_000119,CLI_000119,Nicolas Laurent,Life,2025-02-28,2026-03-13,1917.16€,Suspended,Dijon_21000,Low,42.0,Broker,Self_employed,M
CTR_000120,CLI_000120,Nathalie Bertrand,Auto,2024-01-14,02-02-2025,1021.70€,Renewed,Marseille_13000,Medium,58.0,Web,Self_employed,F
CTR_000121,CLI_000121,Sandrine Laurent,Auto,2023-06-25,2024-07-09,741.25€,Renewed,Nantes_44000,Low,60.0,Broker,Employee,Male
CTR_000122,CLI_000122,Isabelle David,Auto,2024-02-10,2025-02-01,965.20 euros,Expired,Paris_75001,High,45.0,Broker,Self_employed,M
CTR_000123,CLI_000123,Laurent David,Health,2023-10-14,2024-11-01,€1235.25,Renewed,Marseille_13000,Medium,48.0,Broker,Manager,Female
CTR_000124,CLI_000124,Marie David,Home,2023-01-23,2024-02-04,313.40 euros,Renewed,Nantes_44000,Low,43.0,Web,Self_employed,
CTR_000125,CLI_000125,Sophie Dubois,Home,2023-07-26,2024-06-28,572.49€,Expired,Lyon_69000,High,32.0,Web,Manager,M
CTR_000126,CLI_000126,Marie Petit,Life,2023-09-24,2024-09-16,1673.77 EUR,Cancelled,Toulouse_31000,Medium,30.0,Broker,Worker,
CTR_000127,CLI_000127,Catherine Thomas,Auto,2023-08-07,2024-07-15,571.09€,Cancelled,Dijon_21000,Low,44.0,Web,Manager,F
CTR_000128,CLI_000128,Catherine Garcia,Home,2024-09-21,2025-09-13,600.64€,Suspended,Lyon_69000,High,34.0,Web,Employee,
CTR_000129,CLI_000129,Pierre Thomas,Auto,2024-01-17,2024-11-26,706.95€,Cancelled,Nantes_44000,Low,35.0,Phone,Self_employed,
CTR_000130,CLI_000130,Nicolas Laurent,Home,2025-09-04,2026-08-24,268.94€,Suspended,Nantes_44000,Low,41.0,Broker,,M
CTR_000131,CLI_000131,Pierre Moreau,Auto,2024-05-08,2025-05-07,903.00€,Renewed,Toulouse_31000,Medium,47.0,Phone,Manager,F
CTR_000132,CLI_000132,Olivier Durand,Life,2024-02-12,2025-02-13,1382.02€,Expired,Bordeaux_33000,Medium,38.0,Broker,Self_employed,Female
CTR_000133,CLI_000133,Sophie Bertrand,Health,2023-05-27,2024-06-14,1414.68€,Renewed,Lyon_69000,High,27.0,Broker,,Female
CTR_000134,CLI_000134,David Moreau,Health,2025-01-20,2026-02-24,1321.62€,Suspended,Lyon_69000,High,28.0,Agency,Employee,Female
CTR_000135,CLI_000135,Pierre Petit,Life,2024-08-18,2025-09-21,1657.85€,Renewed,Nantes_44000,Low,36.0,Broker,Self_employed,
CTR_000136,CLI_000136,Laurent Bertrand,Home,2023-10-07,2024-10-23,418.52€,Cancelled,Bordeaux_33000,Medium,42.0,Phone,Employee,F
CTR_000137,CLI_000137,Christine Simon,Auto,2024-04-02,2025-05-21,789.97€,Expired,Toulouse_31000,Medium,44.0,Web,Employee,
CTR_000138,CLI_000138,Catherine Thomas,Auto,2024-01-09,2025-01-24,678.02€,Cancelled,Toulouse_31000,Medium,32.0,Broker,Self_employed,Male
CTR_000139,CLI_000139,Catherine Michel,Life,2024-08-14,2025-08-19,$2114.23,Cancelled,Paris_75001,High,48.0,Web,Self_employed,
CTR_000140,CLI_000140,Isabelle Thomas,Health,2023-11-29,04/12/2024,$1253.93,Cancelled,Bordeaux_33000,Medium,35.0,Web,Worker,F
CTR_000141,CLI_000141,Nicolas Simon,Auto,01/22/2024,2025-01-11,663.76€,Renewed,Dijon_21000,Low,53.0,Phone,Employee,Female
CTR_000142,CLI_000142,David Durand,Auto,2024-09-09,2025-09-14,855.33 EUR,Suspended,Bordeaux_33000,Medium,40.0,Web,Worker,Female
CTR_000143,CLI_000143,Catherine Moreau,Auto,17-02-2024,2025-03-27,898.96€,Cancelled,Marseille_13000,Medium,47.0,Web,Self_employed,Male
CTR_000144,CLI_000144,Nathalie Dubois,Health,2023-03-10,2024-02-03,1211,Renewed,Marseille_13000,Medium,45.0,Web,,
CTR_000145,CLI_000145,Sophie Robert,Home,2023-11-19,2024-10-15,630.61€,Cancelled,Paris_75001,High,62.0,Web,,
CTR_000146,CLI_000146,Pierre Leroy,Home,2023-02-21,2024-01-31,371.35€,Renewed,Nantes_44000,Low,56.0,Web,Worker,M
CTR_000147,CLI_000147,Pierre Leroy,Auto,2025-04-20,2026-03-29,490.14€,Active,Dijon_21000,Low,,Agency,Retired,Male
CTR_000148,CLI_000148,Laurent Moreau,Home,2024-04-12,2025-04-10,301.23€,Cancelled,Nantes_44000,Low,35.0,Broker,Worker,F
CTR_000149,CLI_000149,Jean Garcia,Health,2023-06-19,2024-07-17,1433.38€,Renewed,Marseille_13000,Medium,35.0,Agency,Manager,M
CTR_000150,CLI_000150,Pierre Thomas,Home,2024-10-14,2025-10-26,405.78€,Active,Toulouse_31000,Medium,46.0,Agency,Employee,Male
CTR_000151,CLI_000151,Nathalie Robert,Home,2023-10-31,2024-11-24,519.03€,Expired,Paris_75001,High,56.0,Web,Worker,Female
CTR_000152,CLI_000152,Nathalie Laurent,Health,2024-08-13,2025-08-07,1354.82€,Cancelled,Marseille_13000,Medium,38.0,Agency,Worker,
CTR_000153,CLI_000153,Nathalie Durand,Health,2023-02-01,2024-03-26,1375.71€,Cancelled,Paris_75001,High,29.0,Phone,Employee,Female
CTR_000154,CLI_000154,Marie Michel,Auto,22-09-2023,10/11/2024,842.97€,Cancelled,Lyon_69000,High,66.0,Agency,Retired,Male
CTR_000155,CLI_000155,Nathalie Martin,Health,14-01-2025,2025-12-30,1548.30€,Active,Toulouse_31000,Medium,,Agency,Manager,Female
CTR_000156,CLI_000156,Jean Petit,Home,2025-03-17,2026-03-18,380.94€,Active,Toulouse_31000,Medium,39.0,Agency,Worker,
CTR_000157,CLI_000157,Pierre Michel,Home,2024-10-07,2025-09-11,254.62€,Active,Dijon_21000,Low,43.0,Phone,Manager,
CTR_000158,CLI_000158,Nicolas Simon,Auto,2023-06-03,21/05/2024,916.71 euros,Expired,Toulouse_31000,Medium,59.0,Agency,Manager,M
CTR_000159,CLI_000159,Marie Laurent,Life,2024-06-09,2025-06-19,2120.23€,Cancelled,Paris_75001,High,45.0,Agency,Employee,Male
CTR_000160,CLI_000160,Sophie Bertrand,Life,2024-01-29,2025-01-22,1618.09€,Renewed,Nantes_44000,Low,45.0,Phone,,
CTR_000161,CLI_000161,Nathalie Thomas,Health,2023-10-03,2024-11-28,1250.96€,Renewed,Nantes_44000,Low,32.0,Broker,Worker,Male
CTR_000162,CLI_000162,Nicolas Thomas,Auto,2024-04-16,2025-04-16,598.46€,Renewed,Dijon_21000,Low,43.0,Broker,Manager,
CTR_000163,CLI_000163,David Thomas,Auto,2025-01-10,2026-02-17,854.90€,Suspended,Toulouse_31000,Medium,26.0,Web,,Female
CTR_000164,CLI_000164,Pascal Laurent,Home,2025-09-05,2026-08-31,€399.21,Active,Bordeaux_33000,Medium,60.0,Phone,Manager,M
CTR_000165,CLI_000165,Sophie Robert,Home,2025-06-10,2026-05-10,327.80 EUR,Suspended,Nantes_44000,Low,59.0,Broker,Manager,Male
CTR_000166,CLI_000166,Laurent Petit,Life,2024-03-24,2025-05-03,1730.51€,Renewed,Marseille_13000,Medium,45.0,Phone,Worker,M
CTR_000167,CLI_000167,Christine Bertrand,Life,2023-08-13,2024-09-02,1717.26€,Expired,Lyon_69000,High,52.0,Phone,Employee,
CTR_000168,CLI_000168,Sandrine Robert,Auto,2024-02-25,2025-03-11,644.65€,Cancelled,Toulouse_31000,Medium,61.0,Web,Self_employed,Male
CTR_000169,CLI_000169,Pierre Thomas,Auto,2024-04-11,2025-03-25,623.99€,Renewed,Nantes_44000,Low,57.0,Agency,Manager,M
CTR_000170,CLI_000170,Olivier Martin,Health,05/22/2025,2026-05-09,1127.16 euros,Active,Toulouse_31000,Medium,23.0,Broker,Student,M
CTR_000171,CLI_000171,Jean Simon,Auto,2024-08-02,2025-08-03,755.16 euros,Expired,Bordeaux_33000,Medium,63.0,Web,,M
CTR_000172,CLI_000172,David Thomas,Life,2025-02-27,2026-02-15,2123.65€,Suspended,Lyon_69000,High,45.0,Web,Self_employed,M
CTR_000173,CLI_000173,Pascal Bertrand,Auto,2023-08-04,2024-08-13,991.75€,Expired,Nantes_44000,Low,24.0,Agency,Student,Female
CTR_000174,CLI_000174,Pascal David,Home,2024-02-07,2025-03-19,409.86€,Expired,Marseille_13000,Medium,44.0,Agency,Employee,Male
CTR_000175,CLI_000175,David Laurent,Auto,2025-07-24,29-08-2026,544.99€,Active,Nantes_44000,Low,29.0,Web,Self_employed,Female
CTR_000176,CLI_000176,Pascal Simon,Auto,2024-09-16,2025-09-12,$833.22,Cancelled,Marseille_13000,Medium,53.0,Agency,Manager,
CTR_000177,CLI_000177,Christine Leroy,Auto,2024-11-14,2025-10-26,525.43€,Active,Dijon_21000,Low,49.0,Web,Self_employed,Female
CTR_000178,CLI_000178,Marie David,Life,2024-11-01,2025-11-20,1543.75€,Active,Bordeaux_33000,Medium,33.0,Phone,Employee,M
CTR_000179,CLI_000179,Jean Petit,Auto,30-08-2024,2025-09-19,653.08€,Renewed,Toulouse_31000,Medium,33.0,Agency,Employee,M
CTR_000180,CLI_000180,Christine Laurent,Auto,2024-10-15,11/15/2025,510.40€,Suspended,Dijon_21000,Low,51.0,Broker,Employee,Male
CTR_000181,CLI_000181,Laurent Petit,Auto,2025-04-25,2026-04-17,756.57 EUR,Active,Toulouse_31000,Medium,43.0,Broker,Manager,F
CTR_000182,CLI_000182,Isabelle Dubois,Home,2024-11-08,2025-11-11,559.60€,Active,Lyon_69000,High,32.0,Web,Worker,
CTR_000183,CLI_000183,Nathalie Robert,Life,2024-10-28,2025-11-21,1892.73€,Active,Toulouse_31000,Medium,36.0,Phone,Worker,Female
CTR_000184,CLI_000184,Catherine Dubois,Auto,2025-04-03,2026-04-03,655.74€,Active,Bordeaux_33000,Medium,47.0,Agency,Employee,Female
CTR_000185,CLI_000185,Pascal Moreau,Auto,2023-12-02,2024-12-30,919.09€,Renewed,Lyon_69000,High,52.0,Broker,Manager,
